Date,MAGS.Close,TSLA.Close,GOOG.Close,AAPL.Close,MSFT.Close,AMZN.Close,META.Close,NVDA.Close
02/12/2024,52.7,357.1,173.0,239.6,431.0,210.7,592.8,138.6
03/12/2024,53.0,351.4,173.0,242.6,431.2,213.4,613.7,140.3
04/12/2024,53.9,357.9,176.1,243.0,437.4,218.2,613.8,145.1
05/12/2024,54.2,369.5,174.3,243.0,442.6,220.6,608.9,145.1
06/12/2024,55.1,389.2,176.5,242.8,443.6,227.0,623.8,142.4
09/12/2024,54.9,389.8,177.1,246.8,446.0,226.1,613.6,138.8
10/12/2024,55.5,401.0,186.5,247.8,443.3,225.0,619.3,135.1
11/12/2024,57.1,424.8,196.7,246.5,449.0,230.3,632.7,139.3
12/12/2024,56.7,418.1,193.6,248.0,449.6,229.0,630.8,137.3
13/12/2024,56.6,436.2,191.4,248.1,447.3,227.5,620.3,134.3
16/12/2024,58.0,463.0,198.2,251.0,451.6,232.9,624.2,132.0
17/12/2024,58.2,479.9,197.1,253.5,454.5,231.1,619.4,130.4
18/12/2024,55.7,440.1,190.1,248.1,437.4,220.5,597.2,128.9
19/12/2024,55.8,436.2,189.7,249.8,437.0,223.3,595.6,130.7
20/12/2024,55.9,421.1,193.0,254.5,436.6,224.9,585.3,134.7
23/12/2024,56.8,430.6,196.0,255.3,435.3,225.1,599.8,139.7
24/12/2024,58.1,462.3,197.6,258.2,439.3,229.1,607.8,140.2
26/12/2024,57.7,454.1,197.1,259.0,438.1,227.1,603.3,139.9
27/12/2024,56.3,431.7,194.0,255.6,430.5,223.8,599.8,137.0
30/12/2024,55.2,417.4,192.7,252.2,424.8,221.3,591.2,137.5
31/12/2024,54.4,403.8,190.4,250.4,421.5,219.4,585.5,134.3
02/01/2025,54.2,379.3,190.6,243.9,418.6,220.2,599.2,138.3
03/01/2025,55.5,410.4,193.1,243.4,423.4,224.2,604.6,144.5
06/01/2025,56.7,411.0,198.0,245.0,427.9,227.6,630.2,149.4
07/01/2025,55.2,394.4,196.7,242.2,422.4,222.1,617.9,140.1
08/01/2025,55.0,394.9,195.4,242.7,424.6,222.1,610.7,140.1
10/01/2025,54.4,394.7,193.2,236.9,419.0,218.9,615.9,135.9
13/01/2025,54.1,403.3,192.3,234.4,417.2,218.5,608.3,133.2
14/01/2025,53.6,396.4,191.1,233.3,415.7,217.8,594.3,131.8
15/01/2025,55.5,428.2,197.0,237.9,426.3,223.4,617.1,136.2
16/01/2025,54.5,413.8,194.4,228.3,424.6,220.7,611.3,133.6
17/01/2025,55.4,426.5,197.6,230.0,429.0,225.9,612.8,137.7
21/01/2025,55.6,424.1,199.6,222.6,428.5,230.7,616.5,140.8
22/01/2025,56.4,415.1,200.0,223.8,446.2,235.0,623.5,147.1
23/01/2025,56.6,412.4,199.6,223.7,446.7,235.4,636.5,147.2
24/01/2025,56.3,406.6,201.9,222.8,444.1,234.9,647.5,142.6
27/01/2025,54.6,397.1,193.8,229.9,434.6,235.4,659.9,118.4
28/01/2025,56.2,398.1,197.1,238.3,447.2,238.1,674.3,129.0
29/01/2025,55.6,389.1,197.2,239.4,442.3,237.1,676.5,123.7
30/01/2025,55.6,400.3,202.6,237.6,415.0,234.6,687.0,124.7
31/01/2025,55.7,404.6,205.6,236.0,415.1,237.7,689.2,120.1
03/02/2025,54.7,383.7,202.6,228.0,410.9,237.4,697.5,116.7
04/02/2025,55.7,392.2,207.7,232.8,412.4,242.1,704.2,118.7
05/02/2025,54.9,378.2,193.3,232.5,413.3,236.2,704.9,124.8
06/02/2025,55.4,374.3,193.3,233.2,415.8,238.8,712.0,128.7
07/02/2025,54.3,361.6,187.1,227.6,409.8,229.1,714.5,129.8
10/02/2025,54.6,350.7,188.2,227.6,412.2,233.1,717.4,133.6
11/02/2025,54.3,328.5,187.1,232.6,411.4,232.8,719.8,132.8
12/02/2025,54.3,336.5,185.4,236.9,409.0,228.9,725.4,131.1
13/02/2025,55.3,355.9,187.9,241.5,410.5,230.4,728.6,135.3
14/02/2025,55.5,355.8,186.9,244.6,408.4,228.7,736.7,138.9
18/02/2025,55.1,354.1,185.8,244.5,409.6,226.6,716.4,139.4
19/02/2025,55.3,360.6,187.1,244.9,414.8,226.6,703.8,139.2
20/02/2025,55.0,354.4,186.6,245.8,416.1,222.9,694.8,140.1
21/02/2025,53.6,337.8,181.6,245.6,408.2,216.6,683.5,134.4
24/02/2025,52.8,330.5,181.2,247.1,404.0,212.7,668.1,130.3
25/02/2025,51.7,302.8,177.4,247.0,397.9,212.8,657.5,126.6
26/02/2025,51.8,290.8,174.7,240.4,399.7,214.4,673.7,131.3
27/02/2025,50.1,282.0,170.2,237.3,392.5,208.7,658.2,120.2
28/02/2025,51.2,293.0,172.2,241.8,397.0,212.3,668.2,124.9
03/03/2025,49.5,284.6,168.7,238.0,388.5,205.0,655.0,114.1
04/03/2025,49.3,272.0,172.6,235.9,388.6,203.8,640.0,116.0
05/03/2025,50.2,279.1,175.0,235.7,401.0,208.4,656.5,117.3
06/03/2025,48.7,263.5,174.2,235.3,396.9,200.7,627.9,110.6
07/03/2025,48.9,262.7,175.8,239.1,393.3,199.3,625.7,112.7
10/03/2025,46.3,222.1,167.8,227.5,380.2,194.5,598.0,107.0
11/03/2025,46.5,230.6,166.0,220.8,380.5,196.6,605.7,108.8
12/03/2025,47.6,248.1,169.0,217.0,383.3,198.9,619.6,115.7
13/03/2025,46.3,240.7,164.7,209.7,378.8,193.9,590.6,115.6
14/03/2025,47.7,250.0,167.6,213.5,388.6,197.9,607.6,121.7
